idx_a,idx_b,id_a,database_a,id_b,database_b,compartment,subcompartment,sim,rank
92,93,777f45bb-52e1-5bbc-aa40-62a87b53a206,table,8c880730-50fd-5bf1-9698-6d151b03e5c7,openLCA,Emission to air,"low population density, long-term",0.9981434,1
92,98,777f45bb-52e1-5bbc-aa40-62a87b53a206,table,cbad8aa1-0cfe-47c0-b7d5-7b58c433e601,table,Emission to air,"low population density, long-term",0.96374154,8
92,99,777f45bb-52e1-5bbc-aa40-62a87b53a206,table,cbad8aa1-0cfe-47c0-b7d5-7b58c433e601,openLCA,Emission to air,"low population density, long-term",0.9619556,11
93,99,8c880730-50fd-5bf1-9698-6d151b03e5c7,openLCA,cbad8aa1-0cfe-47c0-b7d5-7b58c433e601,openLCA,Emission to air,"low population density, long-term",0.96299964,8
93,98,8c880730-50fd-5bf1-9698-6d151b03e5c7,openLCA,cbad8aa1-0cfe-47c0-b7d5-7b58c433e601,table,Emission to air,"low population density, long-term",0.95970505,11
94,95,79def65c-bd77-4fb2-a1df-f4dba98ada8f,table,79def65c-bd77-4fb2-a1df-f4dba98ada8f,openLCA,Emission to air,unspecified,0.99688995,1
94,100,79def65c-bd77-4fb2-a1df-f4dba98ada8f,table,ffcd4d88-aeb9-491c-ae8c-98838ed38b4d,table,Emission to air,unspecified,0.95913935,6
94,101,79def65c-bd77-4fb2-a1df-f4dba98ada8f,table,ffcd4d88-aeb9-491c-ae8c-98838ed38b4d,openLCA,Emission to air,unspecified,0.957447,7
95,101,79def65c-bd77-4fb2-a1df-f4dba98ada8f,openLCA,ffcd4d88-aeb9-491c-ae8c-98838ed38b4d,openLCA,Emission to air,unspecified,0.96342176,6
95,100,79def65c-bd77-4fb2-a1df-f4dba98ada8f,openLCA,ffcd4d88-aeb9-491c-ae8c-98838ed38b4d,table,Emission to air,unspecified,0.9554706,7
96,97,857e2a6a-7072-4d9d-8c0b-707fdc2bcbc0,table,857e2a6a-7072-4d9d-8c0b-707fdc2bcbc0,openLCA,Emission to air,low population density,0.9909667,1
98,99,cbad8aa1-0cfe-47c0-b7d5-7b58c433e601,table,cbad8aa1-0cfe-47c0-b7d5-7b58c433e601,openLCA,Emission to air,"low population density, long-term",0.9933271,1
100,101,ffcd4d88-aeb9-491c-ae8c-98838ed38b4d,table,ffcd4d88-aeb9-491c-ae8c-98838ed38b4d,openLCA,Emission to air,unspecified,0.9869565,1
